localidad,sex,age,violence,cruelty,gender,gender_2
KENNEDY,F,53,5.47,0.69,C,F
SUBA,M,1,2.76,3.63,C,H
MARTIRES,F,27,4.14,5.64,C,F
SUBA,M,7,3.78,2.18,C,H
SUBA,F,27,3.83,4.9,C,F
KENNEDY,F,2,4.37,3.99,C,F
MARTIRES,F,12,4.54,4.22,C,F
SUBA,M,48,2.97,1.06,C,H
SUBA,F,27,3.85,4.81,C,F
MARTIRES,M,29,6.4,3.7,C,H
USAQUEN,M,30,3.85,2.95,C,H
USAQUEN,F,54,1.93,3.69,C,F
MARTIRES,M,20,6.65,2.61,C,H
KENNEDY,F,29,7.1,3.44,C,F
SUBA,F,13,4.4,5.02,C,F
MARTIRES,M,21,6.78,2.36,C,H
USAQUEN,M,28,4.99,3.56,C,H
SUBA,F,18,4.51,5.24,C,F
SUBA,F,21,5.96,5.51,C,F
USAQUEN,M,11,2.29,2.94,C,H
KENNEDY,X,34,6.9,5.12,T,F
SUBA,F,33,5.12,3.43,C,F
MARTIRES,X,30,5.01,6.84,T,F
USAQUEN,M,23,5.09,3.27,C,H
KENNEDY,M,5,5.26,2.18,C,H
SUBA,F,18,5.82,4.5,C,F
KENNEDY,F,37,9.45,4.26,C,F
KENNEDY,F,14,5.51,3.06,C,F
KENNEDY,M,32,7.88,1.83,C,H
MARTIRES,X,22,8.83,5.46,T,F
USAQUEN,M,20,4.52,4.77,C,H
USAQUEN,M,21,4.13,2.74,C,H
SUBA,M,4,1.56,1.68,C,H
USAQUEN,F,21,5.06,3.69,C,F
USAQUEN,M,37,4.04,1.48,C,H
USAQUEN,M,31,3.37,2.61,C,H
KENNEDY,M,21,8.54,4.12,C,H
KENNEDY,X,19,7.75,6.45,T,F
KENNEDY,F,25,9.7,3.93,C,F
SUBA,X,28,4.04,6.92,T,F
SUBA,M,43,2.08,0.93,C,H
KENNEDY,F,9,5.66,3.46,C,F
USAQUEN,F,11,3.93,4.72,C,F
MARTIRES,F,31,5.24,4.75,C,F
KENNEDY,F,19,7.29,7.09,C,F
USAQUEN,F,8,3.82,2.94,C,F
SUBA,F,19,5.08,5.99,C,F
SUBA,M,6,3.58,4.41,C,H
MARTIRES,M,34,6.27,0.56,C,H
USAQUEN,F,31,6.33,6.11,C,F
SUBA,F,24,5.43,5.14,C,F
KENNEDY,F,40,5.46,3.02,C,F
SUBA,X,14,3.85,7.37,T,F
SUBA,F,37,2.39,1.83,C,F
KENNEDY,F,7,6.75,2.27,C,F
MARTIRES,F,35,5.5,4.12,C,F
SUBA,F,1,1.47,2.15,C,F
KENNEDY,M,13,3.94,1.55,C,H
KENNEDY,F,18,7.57,4.8,C,F
USAQUEN,M,2,3.41,1.89,C,H
USAQUEN,M,7,1.79,0.43,C,H
MARTIRES,F,1,3.91,4.7,C,F
KENNEDY,F,17,7.88,4.39,C,F
KENNEDY,F,8,5.2,4.5,C,F
KENNEDY,F,44,3.75,3.5,C,F
SUBA,F,28,5.41,7.01,C,F
SUBA,M,33,4.07,0.58,C,H
MARTIRES,M,16,7.56,2.98,C,H
MARTIRES,M,14,4.12,2.81,C,H
SUBA,F,23,6.77,5.25,C,F
KENNEDY,F,29,7.39,5.2,C,F
USAQUEN,X,20,4.51,6.24,T,F
KENNEDY,F,17,9.45,4.6,C,F
USAQUEN,X,45,1.75,6.15,T,F
KENNEDY,M,6,4.58,3.1,C,H
KENNEDY,F,5,4.32,2.41,C,F
SUBA,M,32,3.6,1.59,C,H
USAQUEN,M,5,2.16,1.39,C,H
SUBA,F,21,4.82,6.91,C,F
SUBA,F,36,4.3,2.03,C,F
SUBA,X,14,4.38,6.9,T,F
USAQUEN,F,3,1.2,4.07,C,F
KENNEDY,M,7,5.05,0.76,C,H
KENNEDY,F,2,3.37,4.21,C,F
SUBA,F,16,6.45,4.23,C,F
MARTIRES,M,16,7.56,1.4,C,H
USAQUEN,M,10,4.73,2.0,C,H
KENNEDY,F,32,8.59,4.04,C,F
KENNEDY,M,28,7.04,1.87,C,H
SUBA,M,63,2.24,1.14,C,H
KENNEDY,M,38,6.14,1.04,C,H
KENNEDY,M,39,5.95,2.78,C,H
MARTIRES,M,37,6.58,3.05,C,H
MARTIRES,X,31,8.05,5.42,T,F
MARTIRES,M,4,3.31,1.03,C,H
KENNEDY,F,18,7.2,5.23,C,F
KENNEDY,F,37,5.98,4.93,C,F
MARTIRES,M,13,5.07,2.34,C,H
KENNEDY,M,40,2.92,2.06,C,H
USAQUEN,M,28,5.84,3.7,C,H
SUBA,F,7,2.24,2.92,C,F
SUBA,M,14,5.94,3.06,C,H
SUBA,X,29,6.65,7.37,T,F
MARTIRES,M,13,5.61,2.95,C,H
USAQUEN,F,48,1.87,4.01,C,F
USAQUEN,M,5,0.89,1.68,C,H
SUBA,F,24,7.42,6.76,C,F
MARTIRES,F,19,7.1,5.79,C,F
MARTIRES,M,10,5.7,0.74,C,H
KENNEDY,F,33,6.43,3.74,C,F
MARTIRES,F,41,5.24,4.09,C,F
KENNEDY,F,5,4.14,4.88,C,F
MARTIRES,M,2,4.5,2.86,C,H
USAQUEN,M,18,4.4,3.38,C,H
SUBA,F,15,4.61,5.57,C,F
SUBA,X,38,4.61,5.06,T,F
MARTIRES,M,1,4.74,2.66,C,H
MARTIRES,M,25,4.37,2.28,C,H
SUBA,F,10,2.96,3.64,C,F
MARTIRES,F,32,6.33,3.93,C,F
SUBA,F,3,4.48,2.01,C,F
USAQUEN,F,20,4.71,4.67,C,F
KENNEDY,M,18,6.93,2.87,C,H
MARTIRES,F,15,5.87,6.19,C,F
USAQUEN,F,40,1.96,3.42,C,F
USAQUEN,F,11,3.29,4.31,C,F
SUBA,M,11,3.62,0.82,C,H
KENNEDY,M,35,7.87,2.4,C,H
USAQUEN,M,13,1.9,0.89,C,H
MARTIRES,F,24,5.55,5.47,C,F
MARTIRES,F,56,2.94,2.58,C,F
USAQUEN,F,21,5.15,5.63,C,F
USAQUEN,M,6,1.13,1.41,C,H
USAQUEN,M,23,4.57,3.07,C,H
MARTIRES,F,16,8.51,3.81,C,F
MARTIRES,F,12,5.63,3.24,C,F
MARTIRES,M,20,8.52,1.76,C,H
MARTIRES,F,12,5.81,2.9,C,F
USAQUEN,M,17,6.04,2.07,C,H
SUBA,M,5,1.99,3.42,C,H
KENNEDY,F,43,4.53,5.02,C,F
MARTIRES,F,4,4.9,3.96,C,F
SUBA,M,12,2.95,3.55,C,H
MARTIRES,F,38,6.74,4.0,C,F
SUBA,M,27,4.6,4.24,C,H
SUBA,F,39,4.59,5.64,C,F
MARTIRES,M,18,9.01,2.9,C,H
SUBA,F,13,4.16,5.64,C,F
KENNEDY,F,42,4.79,4.65,C,F
MARTIRES,F,49,1.7,4.01,C,F
SUBA,F,6,2.93,4.42,C,F
USAQUEN,F,25,3.71,3.67,C,F
MARTIRES,F,22,7.89,4.65,C,F
MARTIRES,F,1,4.65,5.44,C,F
USAQUEN,X,39,5.35,4.56,T,F
KENNEDY,F,6,6.46,4.19,C,F
USAQUEN,F,18,5.13,4.36,C,F
MARTIRES,M,27,6.75,3.28,C,H
SUBA,M,23,5.57,1.72,C,H
SUBA,M,2,4.49,1.5,C,H
USAQUEN,F,29,5.33,5.06,C,F
USAQUEN,M,21,3.86,4.81,C,H
MARTIRES,M,4,4.88,3.15,C,H
MARTIRES,M,37,6.89,2.84,C,H
SUBA,F,2,3.04,3.58,C,F
SUBA,M,44,2.94,2.11,C,H
KENNEDY,M,45,5.18,1.67,C,H
MARTIRES,X,28,4.95,8.12,T,F
USAQUEN,F,20,5.31,4.45,C,F
SUBA,M,6,2.3,0.67,C,H
KENNEDY,F,30,7.08,4.83,C,F
SUBA,M,17,6.31,2.79,C,H
SUBA,F,36,7.49,3.06,C,F
SUBA,M,16,5.89,3.91,C,H
SUBA,F,19,6.24,4.84,C,F
MARTIRES,X,29,6.29,6.53,T,F
KENNEDY,F,1,6.43,3.16,C,F
SUBA,F,10,5.44,5.24,C,F
SUBA,M,35,6.45,3.04,C,H
KENNEDY,M,13,4.03,2.64,C,H
MARTIRES,F,23,6.93,4.78,C,F
USAQUEN,M,19,3.12,3.45,C,H
MARTIRES,M,12,4.78,1.35,C,H
MARTIRES,M,22,7.78,3.46,C,H
SUBA,M,21,7.19,2.1,C,H
SUBA,M,49,3.95,0.65,C,H
SUBA,F,19,5.25,4.52,C,F
SUBA,F,17,6.39,4.17,C,F
MARTIRES,F,32,5.38,3.97,C,F
SUBA,M,28,5.57,4.32,C,H
SUBA,M,1,2.93,1.35,C,H
SUBA,M,23,5.99,2.58,C,H
SUBA,F,9,2.26,4.41,C,F
MARTIRES,M,21,5.97,3.8,C,H
SUBA,F,21,5.06,3.97,C,F
MARTIRES,F,14,5.48,2.28,C,F
USAQUEN,F,20,5.25,6.44,C,F
MARTIRES,X,43,4.46,6.58,T,F
MARTIRES,X,24,6.84,8.06,T,F
MARTIRES,M,31,6.59,2.8,C,H
MARTIRES,F,19,8.25,5.73,C,F
MARTIRES,F,29,6.83,6.05,C,F
SUBA,M,37,4.99,3.8,C,H
KENNEDY,F,16,9.1,3.75,C,F
MARTIRES,F,18,5.44,4.45,C,F
USAQUEN,F,6,0.64,5.35,C,F
MARTIRES,F,11,4.62,4.84,C,F
SUBA,M,12,3.79,2.78,C,H
MARTIRES,M,31,7.15,2.05,C,H
USAQUEN,M,31,3.71,2.24,C,H
KENNEDY,F,11,7.08,4.27,C,F
USAQUEN,M,24,4.81,3.09,C,H
KENNEDY,X,17,8.54,6.92,T,F
MARTIRES,F,16,5.93,5.15,C,F
KENNEDY,X,48,4.56,5.49,T,F
SUBA,F,32,5.78,2.49,C,F
SUBA,F,16,4.89,5.55,C,F
USAQUEN,F,21,4.42,3.24,C,F
KENNEDY,M,20,7.34,3.74,C,H
MARTIRES,F,38,4.53,4.0,C,F
KENNEDY,F,11,6.77,3.63,C,F
SUBA,M,28,2.97,2.94,C,H
SUBA,M,2,3.66,3.85,C,H
KENNEDY,M,33,7.83,1.73,C,H
MARTIRES,M,21,4.77,2.35,C,H
MARTIRES,F,6,3.94,4.6,C,F
USAQUEN,F,13,2.87,3.2,C,F
SUBA,F,22,5.86,5.47,C,F
USAQUEN,F,28,3.21,5.35,C,F
SUBA,F,6,1.32,3.94,C,F
USAQUEN,M,30,2.08,3.95,C,H
USAQUEN,F,22,4.8,5.41,C,F
MARTIRES,F,20,6.53,5.06,C,F
MARTIRES,F,23,6.34,4.82,C,F
USAQUEN,F,20,4.81,7.08,C,F
MARTIRES,M,12,6.52,2.9,C,H
KENNEDY,X,24,9.63,5.93,T,F
USAQUEN,F,4,3.11,4.52,C,F
USAQUEN,F,28,4.62,4.89,C,F
MARTIRES,F,10,4.45,3.34,C,F
KENNEDY,X,33,8.19,5.72,T,F
KENNEDY,M,30,5.7,0.74,C,H
MARTIRES,F,13,4.61,3.74,C,F
MARTIRES,F,8,5.37,3.87,C,F
SUBA,F,35,4.66,3.75,C,F
SUBA,F,12,5.54,3.63,C,F
USAQUEN,F,10,2.53,4.94,C,F
USAQUEN,M,9,2.36,1.14,C,H
KENNEDY,F,34,8.17,2.8,C,F
USAQUEN,F,38,3.78,4.92,C,F
KENNEDY,M,8,4.3,1.42,C,H
USAQUEN,M,7,1.73,0.49,C,H
MARTIRES,F,5,2.95,3.68,C,F
USAQUEN,F,23,4.5,4.78,C,F
MARTIRES,F,10,5.61,4.79,C,F
KENNEDY,M,10,6.26,3.75,C,H
USAQUEN,F,20,5.37,5.57,C,F
USAQUEN,F,13,1.69,4.08,C,F
USAQUEN,M,19,4.14,2.98,C,H
MARTIRES,M,24,6.95,3.64,C,H
SUBA,F,7,3.5,4.8,C,F
SUBA,F,10,3.97,4.76,C,F
KENNEDY,M,18,7.88,4.05,C,H
KENNEDY,F,38,7.49,3.63,C,F
USAQUEN,F,38,5.97,4.63,C,F
SUBA,F,12,3.6,7.51,C,F
MARTIRES,F,8,4.27,2.82,C,F
SUBA,M,24,5.4,2.19,C,H
USAQUEN,M,7,2.19,3.35,C,H
KENNEDY,M,22,6.68,0.23,C,H
SUBA,M,16,5.26,2.18,C,H
USAQUEN,F,3,2.83,4.96,C,F
USAQUEN,F,29,4.63,4.61,C,F
KENNEDY,F,48,4.66,4.11,C,F
USAQUEN,M,29,5.07,3.0,C,H
SUBA,M,36,4.54,2.97,C,H
MARTIRES,F,6,4.42,5.31,C,F
SUBA,F,13,4.7,5.03,C,F
USAQUEN,M,35,4.04,2.33,C,H
MARTIRES,F,23,7.72,4.0,C,F
KENNEDY,F,22,6.78,5.23,C,F
SUBA,F,26,3.44,4.72,C,F
SUBA,F,5,2.27,2.45,C,F
MARTIRES,M,50,3.05,0.54,C,H
USAQUEN,M,44,2.93,3.1,C,H
KENNEDY,F,22,7.02,5.11,C,F
KENNEDY,M,21,8.59,2.44,C,H
KENNEDY,F,49,4.69,4.79,C,F
SUBA,M,10,2.64,1.58,C,H
KENNEDY,F,22,6.19,4.74,C,F
KENNEDY,X,22,7.55,7.14,T,F
MARTIRES,M,12,5.71,2.87,C,H
SUBA,X,34,5.52,4.27,T,F
KENNEDY,M,32,8.32,1.79,C,H
SUBA,M,15,8.21,2.17,C,H
MARTIRES,M,27,5.79,2.26,C,H
MARTIRES,F,16,7.32,5.76,C,F
KENNEDY,F,25,6.34,5.08,C,F
SUBA,M,29,7.78,2.34,C,H
USAQUEN,M,15,5.2,5.17,C,H
MARTIRES,F,32,5.59,3.36,C,F
SUBA,M,16,7.99,2.1,C,H
MARTIRES,X,21,5.67,6.75,T,F
MARTIRES,F,10,4.64,4.35,C,F
KENNEDY,F,37,6.55,4.86,C,F
MARTIRES,F,17,5.91,4.54,C,F
KENNEDY,M,13,5.96,0.46,C,H
MARTIRES,M,39,6.33,0.79,C,H
SUBA,F,14,4.5,3.55,C,F
USAQUEN,F,16,4.94,5.44,C,F
SUBA,F,36,5.45,4.04,C,F
USAQUEN,F,23,3.65,4.88,C,F
SUBA,F,16,5.17,5.92,C,F
KENNEDY,F,8,2.21,5.06,C,F
SUBA,F,9,1.62,5.43,C,F
MARTIRES,F,3,5.6,5.49,C,F
KENNEDY,M,21,8.3,3.22,C,H
MARTIRES,M,27,5.05,3.0,C,H
USAQUEN,M,24,5.15,2.75,C,H
MARTIRES,F,24,5.97,4.42,C,F
USAQUEN,F,27,4.44,7.36,C,F
MARTIRES,M,31,6.79,0.31,C,H
USAQUEN,F,21,5.25,3.9,C,F
SUBA,F,26,5.63,4.94,C,F
KENNEDY,F,1,4.54,5.37,C,F
USAQUEN,M,57,1.64,0.27,C,H
USAQUEN,F,35,6.03,3.9,C,F
KENNEDY,F,14,6.16,2.57,C,F
MARTIRES,F,26,6.42,6.58,C,F
KENNEDY,F,12,4.79,3.15,C,F
KENNEDY,F,23,7.72,5.75,C,F
KENNEDY,F,37,6.24,4.08,C,F
MARTIRES,F,16,8.25,5.85,C,F
SUBA,F,15,5.12,4.95,C,F
SUBA,F,2,3.79,5.17,C,F
MARTIRES,F,5,6.37,5.95,C,F
SUBA,F,8,3.35,2.16,C,F
KENNEDY,M,46,3.02,2.2,C,H
SUBA,M,17,5.74,3.03,C,H
MARTIRES,F,24,5.56,4.37,C,F
USAQUEN,M,25,3.09,2.41,C,H
SUBA,M,10,4.21,2.37,C,H
SUBA,M,31,3.16,4.37,C,H
USAQUEN,F,35,5.43,3.8,C,F
MARTIRES,X,31,6.09,6.85,T,F
SUBA,F,9,3.22,4.37,C,F
MARTIRES,X,19,8.17,5.89,T,F
USAQUEN,M,17,4.56,2.34,C,H
KENNEDY,F,9,6.92,3.85,C,F
USAQUEN,F,28,3.76,3.84,C,F
USAQUEN,F,15,6.24,4.31,C,F
MARTIRES,M,3,2.46,1.81,C,H
SUBA,M,20,7.9,2.82,C,H
SUBA,M,18,5.17,4.23,C,H
USAQUEN,M,29,3.25,3.12,C,H
MARTIRES,M,30,5.97,0.94,C,H
USAQUEN,M,34,5.76,2.12,C,H
USAQUEN,M,17,4.26,2.84,C,H
SUBA,F,37,6.33,3.07,C,F
KENNEDY,F,8,4.65,3.76,C,F
USAQUEN,F,28,3.25,3.46,C,F
MARTIRES,F,36,4.59,2.74,C,F
SUBA,F,11,3.61,5.59,C,F
KENNEDY,F,40,6.42,2.87,C,F
USAQUEN,F,30,4.96,2.49,C,F
KENNEDY,F,34,7.94,2.59,C,F
SUBA,F,7,2.64,5.77,C,F
KENNEDY,F,18,9.26,3.68,C,F
KENNEDY,F,4,5.71,2.7,C,F
SUBA,F,12,3.44,5.89,C,F
KENNEDY,M,7,3.26,2.53,C,H
USAQUEN,X,55,1.61,5.5,T,F
MARTIRES,M,3,3.66,2.22,C,H
KENNEDY,M,28,8.09,4.82,C,H
KENNEDY,X,44,5.06,4.7,T,F
KENNEDY,X,35,8.78,5.95,T,F
MARTIRES,F,19,7.28,5.47,C,F
KENNEDY,M,22,8.12,5.75,C,H
MARTIRES,F,33,6.31,4.24,C,F
KENNEDY,M,21,6.84,5.25,C,H
KENNEDY,F,23,7.31,4.67,C,F
USAQUEN,F,17,5.88,5.67,C,F
KENNEDY,M,22,6.79,1.06,C,H
USAQUEN,F,18,5.54,4.4,C,F
SUBA,M,30,7.36,2.36,C,H
USAQUEN,X,48,0.94,5.61,T,F
SUBA,F,20,5.6,4.97,C,F
USAQUEN,M,25,2.19,2.5,C,H
SUBA,M,14,4.65,2.38,C,H
KENNEDY,F,26,5.32,5.17,C,F
MARTIRES,M,13,5.01,2.63,C,H
KENNEDY,F,41,5.66,4.26,C,F
MARTIRES,F,39,6.3,4.05,C,F
SUBA,F,37,5.64,3.39,C,F
MARTIRES,F,23,6.76,6.09,C,F
SUBA,M,35,4.99,2.38,C,H
USAQUEN,F,22,4.78,4.99,C,F
USAQUEN,F,28,6.21,5.71,C,F
MARTIRES,M,32,6.03,0.52,C,H
USAQUEN,F,9,1.96,3.16,C,F
MARTIRES,F,11,2.94,4.64,C,F
KENNEDY,F,25,6.97,4.94,C,F
USAQUEN,F,3,1.48,4.91,C,F
USAQUEN,F,14,4.13,5.16,C,F
KENNEDY,M,9,5.8,1.43,C,H
USAQUEN,F,36,3.44,4.24,C,F
MARTIRES,F,41,5.27,3.09,C,F
MARTIRES,F,3,3.64,2.44,C,F
USAQUEN,F,53,1.38,2.83,C,F
KENNEDY,M,36,5.59,1.69,C,H
SUBA,F,20,3.96,5.84,C,F
MARTIRES,M,28,6.67,3.44,C,H
USAQUEN,F,11,1.46,5.01,C,F
MARTIRES,M,8,2.82,2.89,C,H
KENNEDY,F,32,5.75,5.27,C,F
SUBA,F,3,1.36,1.88,C,F
KENNEDY,F,14,4.91,5.72,C,F
SUBA,F,15,6.83,2.77,C,F
MARTIRES,F,17,6.08,4.75,C,F
MARTIRES,M,26,4.82,2.37,C,H
KENNEDY,M,17,8.09,4.02,C,H
MARTIRES,F,6,3.84,4.78,C,F
KENNEDY,X,26,6.22,7.39,T,F
KENNEDY,M,22,7.44,3.33,C,H
KENNEDY,F,38,7.12,3.3,C,F
USAQUEN,F,10,3.22,3.26,C,F
USAQUEN,F,12,3.33,4.36,C,F
KENNEDY,M,8,4.74,3.04,C,H
KENNEDY,M,9,3.57,2.47,C,H
MARTIRES,M,26,6.53,2.74,C,H
KENNEDY,F,30,7.21,2.03,C,F
MARTIRES,M,11,3.01,5.07,C,H
USAQUEN,M,30,3.56,2.48,C,H
SUBA,F,25,4.51,3.67,C,F
SUBA,M,31,6.04,1.94,C,H
KENNEDY,M,1,4.79,1.54,C,H
MARTIRES,F,34,4.91,3.64,C,F
MARTIRES,M,42,2.43,1.58,C,H
KENNEDY,F,31,6.54,5.86,C,F
USAQUEN,F,19,7.03,5.31,C,F
KENNEDY,M,13,7.78,1.35,C,H
USAQUEN,F,16,6.84,4.84,C,F
KENNEDY,F,28,6.73,5.7,C,F
MARTIRES,X,37,6.09,5.46,T,F
USAQUEN,F,47,2.8,5.54,C,F
MARTIRES,F,17,8.14,4.83,C,F
USAQUEN,M,35,4.12,2.3,C,H
KENNEDY,F,41,4.54,3.12,C,F
SUBA,F,18,6.49,5.35,C,F
KENNEDY,F,40,5.11,4.22,C,F
MARTIRES,M,18,7.34,2.67,C,H
SUBA,F,18,6.72,3.7,C,F
USAQUEN,F,12,2.12,4.16,C,F
SUBA,M,14,4.74,1.21,C,H
SUBA,M,27,4.53,1.54,C,H
MARTIRES,F,29,6.17,5.51,C,F
MARTIRES,M,16,7.22,3.31,C,H
MARTIRES,F,28,4.85,5.8,C,F
SUBA,M,41,3.15,2.1,C,H
KENNEDY,X,28,7.16,6.92,T,F
USAQUEN,M,7,0.58,2.66,C,H
SUBA,M,40,3.27,3.04,C,H
KENNEDY,F,3,4.75,4.4,C,F
MARTIRES,M,3,4.18,2.94,C,H
SUBA,F,17,6.38,4.92,C,F
KENNEDY,M,21,9.04,1.03,C,H
SUBA,F,23,6.67,4.6,C,F
KENNEDY,M,28,6.39,4.17,C,H
MARTIRES,F,32,4.73,5.84,C,F
USAQUEN,F,47,0.86,4.43,C,F
SUBA,F,28,5.59,3.87,C,F
KENNEDY,X,33,6.91,5.57,T,F
KENNEDY,F,17,6.5,3.74,C,F
KENNEDY,F,19,8.09,6.24,C,F
KENNEDY,F,33,6.75,4.06,C,F
USAQUEN,F,51,3.72,2.91,C,F
SUBA,M,17,7.8,4.03,C,H
SUBA,F,28,4.85,2.94,C,F
USAQUEN,F,35,3.71,4.43,C,F
USAQUEN,F,22,5.91,4.89,C,F
USAQUEN,M,7,1.65,0.62,C,H
KENNEDY,M,21,5.69,1.7,C,H
MARTIRES,M,8,4.4,0.33,C,H
USAQUEN,X,36,3.59,6.31,T,F
MARTIRES,F,7,3.54,3.56,C,F
SUBA,F,20,6.46,4.7,C,F
MARTIRES,F,22,6.97,3.93,C,F
KENNEDY,F,12,6.94,3.54,C,F
SUBA,M,33,5.45,2.32,C,H
SUBA,F,13,3.13,3.46,C,F
USAQUEN,M,7,1.83,2.3,C,H
MARTIRES,M,65,4.3,0.66,C,H
USAQUEN,F,16,6.35,5.8,C,F
KENNEDY,F,17,7.86,5.74,C,F
MARTIRES,F,18,6.21,4.88,C,F
SUBA,F,39,2.75,6.5,C,F
KENNEDY,F,23,6.45,4.32,C,F
USAQUEN,M,4,0.92,2.18,C,H
USAQUEN,F,6,0.84,3.33,C,F
USAQUEN,F,32,4.63,6.78,C,F
SUBA,X,35,4.74,4.96,T,F
SUBA,F,60,2.04,1.85,C,F
MARTIRES,M,26,6.02,2.39,C,H
USAQUEN,M,27,3.19,3.54,C,H
MARTIRES,M,40,2.81,2.17,C,H
SUBA,M,13,3.52,2.71,C,H
USAQUEN,F,14,4.74,2.74,C,F
MARTIRES,M,9,4.11,1.94,C,H
MARTIRES,M,12,5.35,2.77,C,H
USAQUEN,M,15,3.72,2.1,C,H
USAQUEN,F,33,3.14,3.95,C,F
MARTIRES,F,20,6.9,5.33,C,F
KENNEDY,M,14,6.97,3.17,C,H
KENNEDY,M,9,4.21,3.1,C,H
KENNEDY,F,21,7.54,4.01,C,F
KENNEDY,F,30,7.23,3.68,C,F
USAQUEN,F,22,5.86,5.68,C,F
SUBA,F,15,4.9,5.15,C,F
KENNEDY,F,10,5.36,2.91,C,F
USAQUEN,M,17,3.92,4.05,C,H
USAQUEN,F,38,5.14,3.68,C,F
KENNEDY,M,2,5.58,2.53,C,H
USAQUEN,F,13,3.64,4.38,C,F
MARTIRES,F,14,5.65,4.02,C,F
KENNEDY,F,13,5.74,2.72,C,F
KENNEDY,F,24,8.92,4.03,C,F
SUBA,M,10,3.99,0.89,C,H
KENNEDY,F,19,8.2,5.06,C,F
SUBA,F,2,3.42,4.39,C,F
MARTIRES,F,14,5.63,5.49,C,F
SUBA,X,18,4.26,7.56,T,F
MARTIRES,F,14,4.2,2.96,C,F
SUBA,F,10,4.1,5.88,C,F
MARTIRES,F,5,2.83,3.41,C,F
USAQUEN,F,19,5.55,4.04,C,F
MARTIRES,M,24,5.03,1.55,C,H
SUBA,F,6,2.82,3.55,C,F
USAQUEN,M,1,2.17,2.24,C,H
KENNEDY,M,6,3.56,1.75,C,H
MARTIRES,F,2,5.62,5.46,C,F
KENNEDY,F,10,5.51,2.99,C,F
USAQUEN,M,45,3.84,2.43,C,H
KENNEDY,F,16,6.04,5.18,C,F
KENNEDY,M,46,5.65,1.35,C,H
USAQUEN,M,22,4.74,4.17,C,H
USAQUEN,F,21,4.97,4.45,C,F
MARTIRES,M,10,4.33,2.69,C,H
MARTIRES,F,6,4.0,4.71,C,F
MARTIRES,M,13,5.73,0.96,C,H
MARTIRES,M,32,7.5,2.99,C,H
MARTIRES,F,28,5.81,4.75,C,F
MARTIRES,F,23,6.08,5.59,C,F
USAQUEN,M,15,4.63,4.24,C,H
USAQUEN,F,25,4.2,5.95,C,F
SUBA,F,26,4.52,4.63,C,F
KENNEDY,X,38,6.35,5.98,T,F
MARTIRES,M,17,7.07,2.64,C,H
KENNEDY,F,18,9.74,5.43,C,F
KENNEDY,F,28,5.8,4.16,C,F
SUBA,M,7,3.92,1.69,C,H
SUBA,F,30,4.32,5.6,C,F
USAQUEN,M,9,1.4,0.61,C,H
MARTIRES,F,6,4.13,4.06,C,F
USAQUEN,M,39,4.93,1.2,C,H
MARTIRES,F,12,5.4,3.82,C,F
SUBA,M,34,5.24,0.37,C,H
SUBA,F,52,3.32,4.5,C,F
SUBA,M,42,2.68,2.43,C,H
USAQUEN,M,18,6.16,3.26,C,H
SUBA,F,8,3.97,4.61,C,F
USAQUEN,M,24,3.82,3.08,C,H
USAQUEN,M,4,2.24,0.99,C,H
SUBA,F,3,4.09,3.75,C,F
USAQUEN,F,23,4.2,5.03,C,F
MARTIRES,F,19,7.74,4.2,C,F
MARTIRES,M,32,5.09,1.53,C,H
KENNEDY,M,15,7.63,4.48,C,H
KENNEDY,M,3,4.59,1.37,C,H
MARTIRES,F,5,4.21,6.42,C,F
USAQUEN,F,27,5.05,7.35,C,F
USAQUEN,M,34,3.22,4.23,C,H
SUBA,F,15,7.5,3.54,C,F
SUBA,F,11,4.52,2.74,C,F
KENNEDY,F,19,7.31,4.49,C,F
MARTIRES,M,48,3.95,2.51,C,H
MARTIRES,F,17,6.44,4.16,C,F
MARTIRES,M,14,5.39,2.1,C,H
SUBA,M,3,3.53,2.77,C,H
MARTIRES,F,13,5.56,3.54,C,F
MARTIRES,M,1,3.2,2.71,C,H
USAQUEN,F,10,4.07,4.2,C,F
KENNEDY,F,8,4.67,5.15,C,F
MARTIRES,M,7,3.41,0.24,C,H
MARTIRES,F,35,6.19,4.19,C,F
MARTIRES,M,10,6.14,2.21,C,H
KENNEDY,F,17,6.98,3.75,C,F
MARTIRES,M,35,4.52,1.97,C,H
SUBA,F,15,4.93,4.96,C,F
MARTIRES,M,20,8.31,1.22,C,H
SUBA,F,15,6.24,6.04,C,F
KENNEDY,M,3,6.43,0.96,C,H
MARTIRES,M,28,6.41,3.62,C,H
MARTIRES,F,28,3.97,4.83,C,F
KENNEDY,F,35,7.21,6.42,C,F
KENNEDY,M,28,7.22,2.08,C,H
KENNEDY,F,20,7.29,4.54,C,F
USAQUEN,M,5,3.04,2.95,C,H
SUBA,M,36,5.12,1.94,C,H
USAQUEN,F,16,6.55,5.62,C,F
SUBA,F,20,5.62,4.88,C,F
USAQUEN,F,12,3.01,5.19,C,F
USAQUEN,M,28,2.8,4.06,C,H
MARTIRES,M,15,7.13,3.26,C,H
USAQUEN,F,30,3.87,4.9,C,F
KENNEDY,F,33,5.87,4.16,C,F
MARTIRES,M,4,3.28,1.64,C,H
KENNEDY,F,18,9.04,5.23,C,F
KENNEDY,F,19,9.12,6.5,C,F
MARTIRES,M,37,4.7,1.92,C,H
MARTIRES,F,34,7.11,2.85,C,F
SUBA,X,48,3.27,9.52,T,F
